DATE,IR3TIB01EZM156N
2002-04-01,3.4069
2002-05-01,3.4671
2002-06-01,3.464
2002-07-01,3.41
2002-08-01,3.3519
2002-09-01,3.3101
2002-10-01,3.2613
2002-11-01,3.1241
2002-12-01,2.941
2003-01-01,2.8318
2003-02-01,2.6875
2003-03-01,2.53
2003-04-01,2.5333
2003-05-01,2.4005
2003-06-01,2.1519
2003-07-01,2.13
2003-08-01,2.1404
2003-09-01,2.1473
2003-10-01,2.1436
2003-11-01,2.159
2003-12-01,2.1463
2004-01-01,2.0895
2004-02-01,2.0705
2004-03-01,2.0288
2004-04-01,2.0488
2004-05-01,2.0859
2004-06-01,2.1127
2004-07-01,2.116
2004-08-01,2.1143
2004-09-01,2.1186
2004-10-01,2.1473
2004-11-01,2.1703
2004-12-01,2.1732
2005-01-01,2.1454
2005-02-01,2.1383
2005-03-01,2.1372
2005-04-01,2.1372
2005-05-01,2.1256
2005-06-01,2.111
2005-07-01,2.1194
2005-08-01,2.1325
2005-09-01,2.1391
2005-10-01,2.1966
2005-11-01,2.3609
2005-12-01,2.4729
2006-01-01,2.5117
2006-02-01,2.6004
2006-03-01,2.7226
2006-04-01,2.7938
2006-05-01,2.889
2006-06-01,2.9857
2006-07-01,3.1022
2006-08-01,3.2265
2006-09-01,3.3354
2006-10-01,3.502
2006-11-01,3.5972
2006-12-01,3.6842
2007-01-01,3.7519
2007-02-01,3.8182
2007-03-01,3.8909
2007-04-01,3.9753
2007-05-01,4.0714
2007-06-01,4.1478
2007-07-01,4.2162
2007-08-01,4.5436
2007-09-01,4.7417
2007-10-01,4.6874
2007-11-01,4.6385
2007-12-01,4.8484
2008-01-01,4.4815
2008-02-01,4.3621
2008-03-01,4.5964
2008-04-01,4.7835
2008-05-01,4.8574
2008-06-01,4.9405
2008-07-01,4.961
2008-08-01,4.9652
2008-09-01,5.0192
2008-10-01,5.1131
2008-11-01,4.2383
2008-12-01,3.2926
2009-01-01,2.4565
2009-02-01,1.9431
2009-03-01,1.6355
2009-04-01,1.4223
2009-05-01,1.2817
2009-06-01,1.2279
2009-07-01,0.975
2009-08-01,0.8605
2009-09-01,0.7721
2009-10-01,0.7375
2009-11-01,0.7162
2009-12-01,0.712
2010-01-01,0.6797
2010-02-01,0.6617
2010-03-01,0.645
2010-04-01,0.6447
2010-05-01,0.6865
2010-06-01,0.7276
2010-07-01,0.8488
2010-08-01,0.8955
2010-09-01,0.8805
2010-10-01,0.9977
2010-11-01,1.042
2010-12-01,1.0217
2011-01-01,1.0172
2011-02-01,1.0867
2011-03-01,1.1755
2011-04-01,1.3212
2011-05-01,1.4251
2011-06-01,1.4886
2011-07-01,1.5976
2011-08-01,1.5521
2011-09-01,1.5365
2011-10-01,1.5759
2011-11-01,1.4847
2011-12-01,1.4261
2012-01-01,1.2222
2012-02-01,1.0483
2012-03-01,0.8585
2012-04-01,0.7443
2012-05-01,0.6849
2012-06-01,0.6589
2012-07-01,0.497
2012-08-01,0.3324
2012-09-01,0.2463
2012-10-01,0.2079
2012-11-01,0.192
2012-12-01,0.1855
2013-01-01,0.2049
2013-02-01,0.2234
2013-03-01,0.2061
2013-04-01,0.2089
2013-05-01,0.2012
2013-06-01,0.2103
2013-07-01,0.2214
2013-08-01,0.2259
2013-09-01,0.2232
2013-10-01,0.2258
